counter,text_id,timestamp,constraint_id
26,07,2026-07-22T15:16:03.193966,changement_genre_litteraire
27,07,2026-07-22T15:16:17.259723,changement_epoque
28,02,2026-07-22T15:16:33.834551,changement_epoque
29,02,2026-07-22T15:16:43.218852,haiku
30,23,2026-07-22T15:17:00.834582,haiku
31,23,2026-07-22T15:51:20.463109,changement_epoque
32,26,2026-07-22T16:15:49.048726,changement_epoque
33,32,2026-07-22T16:15:59.988636,changement_epoque
34,13,2026-07-22T16:16:10.339347,haiku
35,22,2026-07-22T16:17:15.546263,changement_lieu
36,19,2026-07-22T16:22:58.284718,haiku
37,26,2026-07-22T16:23:16.480949,homosemantique
38,15,2026-07-22T16:23:27.294207,haiku
39,15,2026-07-22T16:23:36.267276,changement_genre_litteraire
40,15,2026-07-22T16:24:32.098928,haiku
41,14,2026-07-22T16:24:44.440382,changement_epoque
42,11,2026-07-22T16:27:22.524464,homosemantique
43,11,2026-07-22T16:27:32.105153,haiku
44,06,2026-07-22T16:27:42.478141,changement_lieu
45,01,2026-07-22T16:27:51.362737,forcage
46,20,2026-07-22T16:28:39.822117,haiku
47,33,2026-07-22T16:29:21.939017,changement_epoque
48,25,2026-07-22T16:30:25.734503,homosemantique
49,08,2026-07-22T16:31:21.815812,forcage
50,27,2026-07-22T16:31:53.145026,forcage
51,31,2026-07-22T16:32:59.409237,haiku
52,05,2026-07-22T16:33:30.262444,changement_epoque
53,17,2026-07-22T16:33:32.945777,haiku
54,23,2026-07-22T16:33:51.850319,changement_lieu
55,02,2026-07-22T16:50:29.077747,homosemantique
56,13,2026-07-22T16:56:20.292167,haiku
57,08,2026-07-22T16:57:35.752147,changement_genre_litteraire
58,01,2026-07-22T16:58:12.222448,forcage
59,01,2026-07-22T16:58:27.909730,haiku
60,01,2026-07-22T16:59:41.392600,changement_genre_litteraire
61,15,2026-07-22T17:01:51.787878,changement_lieu
62,29,2026-07-22T17:03:13.004821,forcage
63,32,2026-07-22T17:09:45.359713,homosemantique
64,29,2026-07-22T17:10:21.818282,changement_epoque
65,05,2026-07-22T17:14:22.412361,changement_genre_litteraire
66,22,2026-07-22T17:22:11.510976,changement_epoque
67,22,2026-07-22T17:24:51.952693,changement_genre_litteraire
